no,gender,age,age_group,los,last_login_days_ago,info_vacancy_period,is_take_test_minat,is_experienced,is_need_job,is_auto_apply_job,is_completed_profile,total_docs_upload,is_cv_uploaded,expected_salary,have_additional_skill,usr_group_specialization,apply_job_weekend_weekday_tendency,apply_training_weekend_weekday_tendency,training_level_tendency,education_enthuasiast_lvl,frequency_activity,recency_engagement,user_lifecycle,user_ses,job_sensitivity,searching_job_behavior,work_distance_tendency
907,Pria,31,26-35,1586,860,monthly,No,Yes,Yes,Yes,No,0,No,8-10 jt,No,Jasa / Pelayanan,,,,Basic,Low,Low,New,A,,,
908,Pria,28,26-35,1621,860,monthly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Manufaktur,,,,Basic,Low,Low,New,B,,,
909,Wanita,26,26-35,1319,860,weekly,No,Yes,No,No,No,0,No,3-5 jt,Yes,Penjualan,,,,Moderate,,Low,New,A,,,
910,Pria,22,18-25,1706,843,weekly,No,Yes,Yes,No,Yes,0,No,< 3 Jt,No,Administrasi / GA,,,,Moderate,,Low,New,A,,Active canidate,
911,Wanita,18,18-25,85,85,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Basic,,High,New,B,,Future Candidates,
912,Wanita,30,26-35,1242,848,daily,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,Yes,Seni / Media / Komunikasi,,,,Moderate,Low,Low,New,A,,Active canidate,
913,Wanita,24,18-25,1461,846,weekly,No,Yes,Yes,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,Low,Low,New,B,,Active canidate,
914,Pria,3,<=17,994,860,monthly,No,Yes,No,No,No,0,No,< 3 Jt,No,,,,,Basic,,Low,New,C,,,
915,Pria,43,36-45,1305,846,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,,Low,New,B,,Passive canidate,
916,Wanita,20,18-25,209,209,monthly,No,Yes,No,No,No,0,No,,No,,,,,Moderate,,High,New,A,,,
917,Pria,23,18-25,420,420,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Bangunan / Konstruksi,,,,Basic,Low,Medium,New,B,,,
918,Wanita,19,18-25,241,237,monthly,Yes,Yes,No,No,Yes,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,,High,New,A,,,
919,Pria,26,26-35,118,118,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Seni / Media / Komunikasi,Weekday,,,Moderate,Low,High,Churn,A,Low,,Same Province
920,Wanita,52,46-55,1401,860,daily,No,Yes,Yes,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,B,,Active canidate,
921,Wanita,27,26-35,779,528,,No,Yes,Yes,,Yes,0,Yes,,No,Administrasi / GA,,,,Moderate,Low,Medium,New,A,,,
922,Pria,24,18-25,566,559,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Basic,,Medium,New,A,,,
923,Wanita,26,26-35,1020,860,weekly,No,Yes,No,No,Yes,0,Yes,3-5 jt,No,Seni / Media / Komunikasi,,,,Moderate,,Low,New,A,,Future Candidates,
924,Pria,35,26-35,1740,843,2week,No,Yes,Yes,Yes,Yes,0,No,6-7 jt,No,Penjualan,Weekday,,,Moderate,Low,Low,Churn,A,Low,,
925,Pria,22,18-25,29,29,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,Yes,,,,,Basic,Low,High,New,A,,,
926,Wanita,36,36-45,1040,730,daily,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Administrasi / GA,,,,Moderate,Low,Low,New,A,,Active canidate,
927,Pria,21,18-25,924,730,monthly,No,Yes,Yes,Yes,No,0,Yes,3-5 jt,No,Keahlian Teknik,,,,Basic,,Low,New,A,,Future Candidates,
928,Wanita,47,46-55,2102,860,weekly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Basic,,Low,New,,,,
929,Wanita,19,18-25,409,409,monthly,No,Yes,No,No,No,0,No,,No,,,,,Moderate,,Medium,New,A,,,
930,Wanita,36,36-45,640,21,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Jasa / Pelayanan,Weekday,,,Basic,Low,High,Retain,B,Low,,
931,Pria,23,18-25,1445,860,monthly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,Low,Low,New,B,,,
932,Pria,26,26-35,922,528,,No,Yes,Yes,,Yes,0,Yes,,No,Ilmu Pengetahuan,,,,Moderate,Low,Medium,New,A,,Future Candidates,
933,Wanita,21,18-25,1080,848,daily,No,Yes,Yes,No,Yes,0,Yes,< 3 Jt,No,Akuntansi / Keuangan,,,,Basic,Low,Low,New,C,,Active canidate,
934,Pria,27,26-35,750,739,monthly,Yes,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Jasa / Pelayanan,,,,Moderate,,Low,New,B,,,
935,Pria,21,18-25,1029,860,monthly,Yes,Yes,No,No,No,0,Yes,3-5 jt,No,Keahlian Teknik,,,,Basic,,Low,New,B,,,
936,Pria,19,18-25,362,321,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Keahlian Teknik,Weekday,,,Basic,Low,Medium,Churn,B,Low,,Different Province
937,Wanita,22,18-25,1431,585,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Keahlian Teknik,Weekend,,,Basic,Low,Low,Churn,A,Low,Active canidate,Different Province
938,Pria,23,18-25,506,490,monthly,No,Yes,No,No,Yes,0,Yes,3-5 jt,No,Manufaktur,,,,Basic,,Medium,New,B,,Passive canidate,
939,Wanita,19,18-25,174,174,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,,High,New,B,,,
940,Pria,38,36-45,1159,848,weekly,No,Yes,No,No,No,0,No,11-15 jt,No,Keahlian Teknik,,,,Moderate,,Low,New,A,,Passive canidate,
941,Wanita,22,18-25,1322,860,monthly,No,Yes,Yes,No,No,0,No,3-5 jt,No,Bangunan / Konstruksi,,,,Basic,,Low,New,B,,,
942,Wanita,21,18-25,1225,860,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Pemasaran ,,,,Basic,Low,Low,New,B,,Active canidate,
943,Pria,27,26-35,1399,860,daily,No,Yes,No,No,No,0,No,3-5 jt,No,Teknologi Informasi (TI),,,,Basic,,Low,New,B,,,
944,Pria,28,26-35,1974,860,weekly,No,Yes,No,No,No,0,No,,No,,,,,Basic,,Low,New,,,,
945,Wanita,21,18-25,694,530,monthly,Yes,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Akuntansi / Keuangan,Weekday,,,Basic,Low,Medium,Churn,B,High,,Different Province
946,Wanita,25,18-25,616,596,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Akuntansi / Keuangan,,,,Moderate,,Low,New,A,,Active canidate,
947,Wanita,21,18-25,76,76,monthly,No,Yes,No,No,No,0,No,,No,,,,,Basic,,High,New,,,,
948,Pria,3,<=17,1165,528,,No,Yes,,,No,0,No,,Yes,Keahlian Teknik,,,,Basic,Low,Medium,New,C,,Passive canidate,
949,Wanita,21,18-25,662,656,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,B,,,
950,Pria,2023,>65,1474,860,weekly,No,Yes,Yes,No,No,0,No,< 3 Jt,No,Teknologi Informasi (TI),,,,Basic,Low,Low,New,C,,Active canidate,
951,Pria,20,18-25,1454,860,weekly,No,Yes,No,No,No,0,No,< 3 Jt,No,Teknologi Informasi (TI),,,,Basic,,Low,New,C,,,
952,Pria,29,26-35,221,221,,No,Yes,,,No,0,No,,No,Perencanaan & Pengembangan Perusahaan,,,,Basic,,High,New,,,,
953,Pria,27,26-35,1158,528,,No,Yes,,,No,0,Yes,,Yes,Keahlian Teknik,,,,Moderate,,Medium,New,B,,Future Candidates,
954,Pria,23,18-25,1468,860,monthly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,Low,Low,New,A,,,
955,Pria,22,18-25,1103,848,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,,Low,New,B,,Future Candidates,
956,Pria,29,26-35,1445,846,monthly,No,Yes,Yes,Yes,Yes,2,No,6-7 jt,No,Akuntansi / Keuangan,,,,Moderate,Low,Low,New,A,,,
957,Wanita,24,18-25,764,758,monthly,No,Yes,Yes,No,No,0,No,3-5 jt,No,Pelayanan Kesehatan,,,,Basic,Low,Low,New,B,,,
958,Pria,32,26-35,1433,846,daily,No,Yes,Yes,No,Yes,2,Yes,3-5 jt,No,Bangunan / Konstruksi,,,,Moderate,Low,Low,New,A,,Active canidate,
959,Pria,30,26-35,1644,846,weekly,No,Yes,No,No,Yes,2,No,3-5 jt,No,Teknologi Informasi (TI),,,,Moderate,Low,Low,New,A,,Future Candidates,
960,Wanita,33,26-35,1397,846,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Administrasi / GA,,,,Moderate,Low,Low,New,A,,Passive canidate,
961,Pria,20,18-25,537,522,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Penjualan,Weekday,,,Basic,Low,Medium,Churn,B,Low,Active canidate,Same Province
962,Wanita,18,18-25,24,3,monthly,No,Yes,Yes,Yes,Yes,3,Yes,< 3 Jt,No,,Weekday,,,Basic,Low,High,First Active,C,High,,Same Province
963,Wanita,26,26-35,1383,860,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,Yes,Akuntansi / Keuangan,,,,Moderate,Low,Low,New,B,,Active canidate,
964,Pria,33,26-35,888,860,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Basic,,Low,New,C,,,
965,Wanita,24,18-25,720,720,monthly,No,Yes,Yes,No,No,0,No,3-5 jt,No,,,,,Basic,Low,Low,New,A,,,
966,Wanita,25,18-25,1340,860,weekly,No,Yes,Yes,No,Yes,2,No,3-5 jt,No,Manufaktur,,,,Moderate,Low,Low,New,B,,Active canidate,
967,Pria,21,18-25,931,860,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Pemasaran ,,,,Basic,,Low,New,B,,,
968,Pria,32,26-35,335,335,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Basic,,Medium,New,C,,Passive canidate,
969,Wanita,30,26-35,646,587,monthly,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Jasa / Pelayanan,Weekday,,,Basic,Low,Low,Churn,B,Low,,Same Province
970,Wanita,22,18-25,1451,860,weekly,No,Yes,No,No,No,0,No,< 3 Jt,No,Teknologi Informasi (TI),,,,Basic,,Low,New,C,,,
971,Wanita,23,18-25,1450,846,monthly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Pemasaran ,Weekday,,,Basic,Low,Low,Churn,B,High,,Same Province
972,Pria,32,26-35,888,860,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Moderate,,Low,New,A,,,
973,Wanita,26,26-35,1467,860,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,Yes,Keahlian Teknik,,,,Moderate,Low,Low,New,A,,,
974,Pria,23,18-25,1433,860,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Seni / Media / Komunikasi,,,,Basic,Low,Low,New,A,,Active canidate,
975,Pria,52,46-55,1457,860,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,No,Akuntansi / Keuangan,,,,Basic,Low,Low,New,B,,,
976,Wanita,27,26-35,1636,846,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,Yes,Seni / Media / Komunikasi,,,,Moderate,Low,Low,New,A,,Future Candidates,
977,Pria,24,18-25,568,543,daily,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Manufaktur,Weekday,,,Basic,Low,Medium,Churn,B,Low,Active canidate,
978,Pria,33,26-35,224,223,monthly,No,Yes,Yes,No,Yes,0,No,6-7 jt,No,Penjualan,Weekday,,,Basic,Low,High,Churn,A,Low,,Same Province
